date,time,position,datetime,strategy
20240301,845,0,2024-03-01 08:45:00,NQstrategyB
20240301,900,0,2024-03-01 09:00:00,NQstrategyB
20240301,915,0,2024-03-01 09:15:00,NQstrategyB
20240301,915,0,2024-03-01 09:15:00,TXFstrategyA
20240301,930,0,2024-03-01 09:30:00,NQstrategyB
20240301,945,0,2024-03-01 09:45:00,TXFstrategyA
20240301,945,0,2024-03-01 09:45:00,NQstrategyB
20240301,1000,0,2024-03-01 10:00:00,NQstrategyB
20240301,1015,0,2024-03-01 10:15:00,NQstrategyB
20240301,1015,0,2024-03-01 10:15:00,TXFstrategyA
20240301,1030,0,2024-03-01 10:30:00,NQstrategyB
20240301,1045,0,2024-03-01 10:45:00,TXFstrategyA
20240301,1045,0,2024-03-01 10:45:00,NQstrategyB
20240301,1100,0,2024-03-01 11:00:00,NQstrategyB
20240301,1115,0,2024-03-01 11:15:00,NQstrategyB
20240301,1115,0,2024-03-01 11:15:00,TXFstrategyA
20240301,1130,0,2024-03-01 11:30:00,NQstrategyB
20240301,1145,0,2024-03-01 11:45:00,TXFstrategyA
20240301,1145,0,2024-03-01 11:45:00,NQstrategyB
20240301,1200,0,2024-03-01 12:00:00,NQstrategyB
20240301,1215,0,2024-03-01 12:15:00,TXFstrategyA
20240301,1215,0,2024-03-01 12:15:00,NQstrategyB
20240301,1230,0,2024-03-01 12:30:00,NQstrategyB
20240301,1245,0,2024-03-01 12:45:00,TXFstrategyA
20240301,1245,0,2024-03-01 12:45:00,NQstrategyB
20240301,1300,0,2024-03-01 13:00:00,NQstrategyB
20240301,1315,0,2024-03-01 13:15:00,NQstrategyB
20240301,1315,0,2024-03-01 13:15:00,TXFstrategyA
20240301,1330,0,2024-03-01 13:30:00,NQstrategyB
20240301,1345,0,2024-03-01 13:45:00,NQstrategyB
20240301,1345,0,2024-03-01 13:45:00,TXFstrategyA
20240301,1400,0,2024-03-01 14:00:00,NQstrategyB
20240301,1415,0,2024-03-01 14:15:00,NQstrategyB
20240301,1430,0,2024-03-01 14:30:00,NQstrategyB
20240301,1445,0,2024-03-01 14:45:00,NQstrategyB
20240301,1500,0,2024-03-01 15:00:00,NQstrategyB
20240301,1515,0,2024-03-01 15:15:00,NQstrategyB
20240304,845,0,2024-03-04 08:45:00,NQstrategyB
20240304,900,0,2024-03-04 09:00:00,NQstrategyB
20240304,915,0,2024-03-04 09:15:00,TXFstrategyA
20240304,915,0,2024-03-04 09:15:00,NQstrategyB
20240304,930,0,2024-03-04 09:30:00,NQstrategyB
20240304,945,0,2024-03-04 09:45:00,NQstrategyB
20240304,945,0,2024-03-04 09:45:00,TXFstrategyA
20240304,1000,0,2024-03-04 10:00:00,NQstrategyB
20240304,1015,0,2024-03-04 10:15:00,TXFstrategyA
20240304,1015,0,2024-03-04 10:15:00,NQstrategyB
20240304,1030,0,2024-03-04 10:30:00,NQstrategyB
20240304,1045,0,2024-03-04 10:45:00,TXFstrategyA
20240304,1045,0,2024-03-04 10:45:00,NQstrategyB
20240304,1100,0,2024-03-04 11:00:00,NQstrategyB
20240304,1115,0,2024-03-04 11:15:00,TXFstrategyA
20240304,1115,0,2024-03-04 11:15:00,NQstrategyB
20240304,1130,0,2024-03-04 11:30:00,NQstrategyB
20240304,1145,0,2024-03-04 11:45:00,NQstrategyB
20240304,1145,0,2024-03-04 11:45:00,TXFstrategyA
20240304,1200,0,2024-03-04 12:00:00,NQstrategyB
20240304,1215,0,2024-03-04 12:15:00,TXFstrategyA
20240304,1215,0,2024-03-04 12:15:00,NQstrategyB
20240304,1230,0,2024-03-04 12:30:00,NQstrategyB
20240304,1245,0,2024-03-04 12:45:00,NQstrategyB
20240304,1245,0,2024-03-04 12:45:00,TXFstrategyA
20240304,1300,0,2024-03-04 13:00:00,NQstrategyB
20240304,1315,0,2024-03-04 13:15:00,TXFstrategyA
20240304,1315,0,2024-03-04 13:15:00,NQstrategyB
20240304,1330,0,2024-03-04 13:30:00,NQstrategyB
20240304,1345,0,2024-03-04 13:45:00,NQstrategyB
20240304,1345,0,2024-03-04 13:45:00,TXFstrategyA
20240304,1400,0,2024-03-04 14:00:00,NQstrategyB
20240304,1415,0,2024-03-04 14:15:00,NQstrategyB
20240304,1430,0,2024-03-04 14:30:00,NQstrategyB
20240304,1445,0,2024-03-04 14:45:00,NQstrategyB
20240304,1500,0,2024-03-04 15:00:00,NQstrategyB
20240304,1515,0,2024-03-04 15:15:00,NQstrategyB
20240305,845,0,2024-03-05 08:45:00,NQstrategyB
20240305,900,0,2024-03-05 09:00:00,NQstrategyB
20240305,915,0,2024-03-05 09:15:00,NQstrategyB
20240305,915,0,2024-03-05 09:15:00,TXFstrategyA
20240305,930,0,2024-03-05 09:30:00,NQstrategyB
20240305,945,0,2024-03-05 09:45:00,NQstrategyB
20240305,945,0,2024-03-05 09:45:00,TXFstrategyA
20240305,1000,0,2024-03-05 10:00:00,NQstrategyB
20240305,1015,0,2024-03-05 10:15:00,TXFstrategyA
20240305,1015,0,2024-03-05 10:15:00,NQstrategyB
20240305,1030,0,2024-03-05 10:30:00,NQstrategyB
20240305,1045,0,2024-03-05 10:45:00,NQstrategyB
20240305,1045,0,2024-03-05 10:45:00,TXFstrategyA
20240305,1100,0,2024-03-05 11:00:00,NQstrategyB
20240305,1115,0,2024-03-05 11:15:00,TXFstrategyA
20240305,1115,0,2024-03-05 11:15:00,NQstrategyB
20240305,1130,0,2024-03-05 11:30:00,NQstrategyB
20240305,1145,4,2024-03-05 11:45:00,TXFstrategyA
20240305,1145,0,2024-03-05 11:45:00,NQstrategyB
